Pitcher,ID,Pitch Type,xP0,yP0,zP0,xV0,yV0,zV0,xA0,yA0,zA0,Spin Rate,Spin Direction
"Ober, Bailey",641927,CH,-1.82,53.47,5.91,5.93,-123.74,-3.33,-15.28,23.53,-25.23,1865,251
"Ober, Bailey",641927,SL,-1.66,53.19,5.80,6.95,-121.21,-2.72,3.45,21.68,-31.62,2147,110
"Ober, Bailey",641927,FF,-1.80,53.43,5.83,4.77,-133.88,-0.44,-10.35,31.40,-15.52,2361,216
"Ober, Bailey",641927,CH,-1.84,53.37,5.85,4.80,-122.86,-0.07,-13.95,23.73,-28.38,1844,252
"Ober, Bailey",641927,FF,-1.70,53.21,5.82,8.56,-132.57,-4.13,-10.16,27.80,-15.46,2299,208
"Ober, Bailey",641927,CH,-1.90,53.68,5.87,6.12,-122.97,-1.94,-14.93,25.15,-24.50,1781,254
"Ober, Bailey",641927,FF,-1.79,53.21,5.85,7.42,-132.84,-4.19,-10.46,28.60,-13.19,2333,214
"Ober, Bailey",641927,FF,-1.87,53.45,5.85,7.47,-132.67,-2.01,-11.16,30.15,-15.12,2382,213
"Ober, Bailey",641927,SL,-1.82,53.45,5.83,3.12,-120.54,-1.94,2.38,22.41,-33.86,2005,109
"Ober, Bailey",641927,CH,-1.94,53.33,5.85,7.81,-121.62,-3.32,-15.45,23.19,-23.41,1897,253
"Ober, Bailey",641927,CU,-1.62,53.49,5.99,2.71,-116.50,-3.53,5.33,22.17,-36.58,2262,42
"Ober, Bailey",641927,FF,-1.80,53.47,5.89,6.30,-132.90,-3.65,-7.96,28.90,-13.83,2256,213
"Ober, Bailey",641927,CH,-1.97,53.44,5.81,5.93,-123.30,-6.20,-14.96,23.81,-24.49,1885,252
"Ober, Bailey",641927,CU,-1.63,53.51,5.98,3.24,-114.77,-0.79,5.05,22.75,-39.03,2323,45
"Ober, Bailey",641927,FF,-1.67,53.19,5.91,9.11,-132.51,-7.09,-9.92,27.80,-13.70,2351,209
"Ober, Bailey",641927,CU,-1.68,53.54,5.93,2.84,-113.56,-1.25,5.69,21.89,-39.76,2228,47
"Ober, Bailey",641927,SL,-1.82,53.32,5.86,6.82,-120.90,-3.66,3.23,21.15,-29.75,2218,104
"Ober, Bailey",641927,FF,-1.90,53.32,5.78,3.76,-132.46,-0.85,-7.54,29.41,-16.02,2268,212
"Ober, Bailey",641927,FF,-2.00,53.44,5.78,6.68,-132.39,-5.29,-9.92,26.93,-13.22,2272,213
"Ober, Bailey",641927,FF,-1.94,53.41,5.77,4.85,-132.22,0.00,-7.48,28.06,-17.18,2274,208
