Pitcher,ID,Pitch Type,xP0,yP0,zP0,xV0,yV0,zV0,xA0,yA0,zA0,Spin Rate,Spin Direction
"Thielbar, Caleb",573204,FF,0.33,54.30,6.13,-2.39,-137.06,-6.87,4.72,30.96,-9.28,2355,165
"Thielbar, Caleb",573204,SL,0.46,54.48,6.05,0.53,-120.05,-1.80,-14.19,24.76,-31.99,2417,290
"Thielbar, Caleb",573204,FF,0.45,54.15,6.04,0.38,-136.85,-8.77,7.62,29.13,-11.91,2368,169
"Thielbar, Caleb",573204,SL,0.72,54.32,6.01,1.07,-120.79,-1.19,-12.38,23.73,-29.11,2404,278
"Thielbar, Caleb",573204,FF,0.76,54.12,5.95,-2.93,-135.37,-5.62,5.18,29.78,-9.97,2347,157
"Thielbar, Caleb",573204,FF,0.59,54.31,6.08,-1.61,-135.91,-7.30,4.06,31.01,-9.40,2418,162
"Thielbar, Caleb",573204,CU,0.44,54.02,6.02,-0.65,-105.97,0.33,-6.89,21.19,-42.77,2509,335
"Thielbar, Caleb",573204,CU,0.38,54.22,6.18,2.26,-104.71,1.57,-7.37,20.30,-42.66,2462,334
"Thielbar, Caleb",573204,FF,0.50,54.21,6.02,-2.53,-135.80,-6.23,3.13,30.26,-9.03,2377,161
"Thielbar, Caleb",573204,CU,0.16,54.25,6.07,0.15,-106.68,-0.72,-7.93,21.20,-42.68,2445,334
"Thielbar, Caleb",573204,FF,0.54,54.29,6.08,-1.17,-135.76,-4.06,2.88,31.14,-10.30,2362,164
"Thielbar, Caleb",573204,CU,0.22,54.29,6.07,-0.91,-108.20,-2.28,-6.46,20.90,-43.06,2543,337
"Thielbar, Caleb",573204,FF,0.75,54.29,6.11,-1.43,-136.60,-6.78,4.32,29.12,-10.12,2301,159
"Thielbar, Caleb",573204,FF,0.48,54.37,6.17,-3.97,-135.12,-5.82,3.24,28.13,-10.10,2247,164
"Thielbar, Caleb",573204,CU,0.28,54.21,6.16,0.80,-104.12,1.91,-7.80,21.01,-44.06,2426,337
"Thielbar, Caleb",573204,CU,0.14,54.08,6.10,1.67,-106.72,1.51,-6.19,20.34,-43.73,2507,342
"Thielbar, Caleb",573204,FF,0.42,54.13,6.04,-4.10,-135.98,-5.78,2.87,32.26,-10.58,2372,171
"Thielbar, Caleb",573204,FF,0.24,54.16,6.15,-1.31,-135.09,-7.13,4.85,32.72,-10.49,2245,160
"Thielbar, Caleb",573204,FF,0.34,54.32,6.03,-0.36,-136.08,-5.13,3.82,29.79,-10.94,2324,162
"Thielbar, Caleb",573204,CU,0.12,54.13,6.06,-2.51,-105.44,-1.55,-5.95,21.99,-42.69,2530,336
"Thielbar, Caleb",573204,FF,0.36,54.21,6.15,-2.51,-133.83,-4.61,2.88,28.96,-11.66,2228,161
"Thielbar, Caleb",573204,SL,0.37,54.15,6.00,0.86,-116.32,0.69,-11.17,21.13,-31.55,2251,267
"Thielbar, Caleb",573204,SL,0.33,54.18,5.99,0.07,-117.05,-0.36,-11.41,22.21,-32.63,2354,273
"Thielbar, Caleb",573204,SL,0.42,54.00,5.96,-0.59,-118.99,-4.90,-8.85,24.52,-31.44,2329,277
"Thielbar, Caleb",573204,FF,0.21,54.12,6.15,-1.50,-136.26,-7.02,2.99,28.83,-11.78,2282,165
"Thielbar, Caleb",573204,SL,0.48,54.29,6.04,-0.72,-119.73,0.77,-8.39,22.76,-28.24,2394,267
"Thielbar, Caleb",573204,SL,0.39,54.31,6.04,1.03,-118.69,-2.83,-11.51,22.03,-32.22,2350,284
"Thielbar, Caleb",573204,SL,0.45,54.28,6.10,0.68,-118.30,-1.80,-12.41,22.13,-31.58,2350,298
"Thielbar, Caleb",573204,FF,0.17,54.15,6.14,1.03,-134.96,-4.65,4.51,30.46,-13.02,2237,165
