Pitcher,ID,Pitch Type,xP0,yP0,zP0,xV0,yV0,zV0,xA0,yA0,zA0,Spin Rate,Spin Direction
"Sands, Cole",663485,FS,-3.14,55.14,5.42,9.06,-122.93,-1.04,-13.63,22.86,-29.63,1536,250
"Sands, Cole",663485,FS,-3.00,55.14,5.44,11.14,-123.37,-2.93,-13.83,22.71,-28.40,1387,250
"Sands, Cole",663485,CU,-3.10,55.43,5.31,4.87,-113.81,-1.70,13.18,21.16,-31.43,2857,54
"Sands, Cole",663485,FS,-3.14,55.01,5.43,9.71,-123.28,-2.10,-14.22,21.58,-32.89,1529,254
"Sands, Cole",663485,FF,-3.10,55.19,5.39,10.57,-131.75,-2.79,-18.70,29.76,-31.56,2193,234
"Sands, Cole",663485,FS,-3.06,55.04,5.45,9.35,-122.36,-1.12,-14.47,23.91,-34.30,1390,251
"Sands, Cole",663485,FS,-2.87,55.10,5.49,9.61,-122.67,-1.26,-15.43,23.56,-33.92,1557,253
"Sands, Cole",663485,FF,-2.97,55.13,5.50,10.24,-132.86,-0.80,-10.30,28.01,-18.09,2241,239
"Sands, Cole",663485,FS,-2.93,54.92,5.49,6.11,-121.22,1.23,-13.45,24.89,-36.70,1407,250
"Sands, Cole",663485,FF,-2.83,55.05,5.45,9.75,-129.48,-2.30,-16.90,26.66,-29.29,2090,238
"Sands, Cole",663485,CU,-3.16,55.37,5.55,-0.07,-112.68,4.93,11.03,22.15,-39.41,2771,55
"Sands, Cole",663485,FF,-2.78,55.21,5.84,8.51,-132.74,-1.66,-10.68,27.58,-18.75,2232,221
"Sands, Cole",663485,FS,-3.08,55.13,5.50,8.68,-121.43,-1.44,-12.71,21.36,-29.87,1249,251
"Sands, Cole",663485,FS,-2.99,55.01,5.42,9.08,-121.65,-1.67,-13.24,19.47,-32.22,1462,252
"Sands, Cole",663485,FS,-2.86,55.05,5.42,7.35,-121.97,-1.42,-15.33,22.81,-33.46,1542,247
"Sands, Cole",663485,FF,-2.61,55.05,5.76,7.95,-133.12,-3.49,-11.42,26.93,-17.32,2068,232
"Sands, Cole",663485,FS,-2.94,55.09,5.67,8.17,-122.86,-2.70,-15.87,26.86,-33.97,1556,251
"Sands, Cole",663485,CU,-3.06,55.31,5.55,3.55,-114.93,-0.47,12.18,24.56,-39.52,2877,48
"Sands, Cole",663485,FF,-2.81,55.24,5.81,6.17,-134.45,-2.60,-9.17,28.93,-17.56,2282,229
"Sands, Cole",663485,FF,-2.86,55.25,5.78,5.45,-133.17,-2.86,-9.12,29.12,-16.60,2303,229
"Sands, Cole",663485,FF,-2.84,55.26,5.64,4.45,-132.04,-1.10,-11.24,28.57,-21.90,2293,229
"Sands, Cole",663485,FS,-2.94,55.06,5.41,6.13,-124.48,-0.94,-15.18,24.68,-34.98,1495,253
