Pitcher,ID,Pitch Type,xP0,yP0,zP0,xV0,yV0,zV0,xA0,yA0,zA0,Spin Rate,Spin Direction
"May, Dustin",669160,FC,-2.33,54.03,5.17,7.37,-134.13,-0.78,-3.44,29.60,-27.40,2394,226
"May, Dustin",669160,SI,-2.39,54.03,4.89,9.60,-138.91,-6.92,-21.77,29.56,-24.04,2320,239
"May, Dustin",669160,SI,-2.57,54.08,4.99,9.62,-139.07,-3.88,-21.25,29.50,-25.03,2328,238
"May, Dustin",669160,CH,-2.40,53.85,4.86,7.71,-125.47,-0.28,-15.45,24.64,-32.27,1987,272
"May, Dustin",669160,CH,-2.58,54.07,5.00,5.60,-126.34,-1.57,-13.96,24.87,-32.47,1938,268
"May, Dustin",669160,FF,-2.40,53.87,5.31,8.41,-140.96,-4.31,-16.16,32.82,-15.65,2241,230
"May, Dustin",669160,FC,-2.56,54.14,5.14,6.53,-135.19,-3.72,-4.03,27.71,-29.90,2545,236
"May, Dustin",669160,CU,-2.54,53.78,5.07,8.37,-123.88,-0.84,12.33,28.73,-36.81,3300,44
"May, Dustin",669160,CH,-2.51,54.03,4.92,7.91,-126.49,-2.32,-13.14,26.82,-33.22,1887,267
"May, Dustin",669160,FC,-2.48,54.06,5.14,9.31,-134.37,-4.77,-5.76,27.90,-26.15,2435,223
"May, Dustin",669160,FF,-2.06,53.93,5.39,5.61,-139.83,-5.07,-13.42,31.27,-15.71,2247,222
"May, Dustin",669160,FF,-2.21,53.97,5.37,8.71,-140.98,-4.95,-13.16,31.85,-16.01,2275,227
"May, Dustin",669160,FF,-2.32,53.82,5.23,8.66,-142.06,-6.05,-15.59,31.58,-16.80,2343,225
"May, Dustin",669160,FF,-2.32,53.86,5.34,10.39,-143.08,-5.65,-12.70,35.91,-12.94,2398,227
"May, Dustin",669160,CU,-2.40,53.98,5.06,6.22,-125.79,-1.32,11.94,29.24,-37.84,3396,44
"May, Dustin",669160,FF,-2.30,53.91,5.34,8.42,-141.52,-3.07,-15.16,34.27,-16.61,2326,232
"May, Dustin",669160,FC,-2.55,53.99,5.20,6.82,-135.39,-0.66,-5.70,29.87,-26.76,2447,229
"May, Dustin",669160,SI,-2.44,53.96,4.96,10.09,-139.35,-4.78,-23.46,30.46,-20.69,2477,234
"May, Dustin",669160,SI,-2.44,54.06,5.01,7.78,-139.60,-3.16,-23.15,31.95,-23.61,2490,236
"May, Dustin",669160,CU,-2.46,54.12,5.24,1.73,-122.70,3.17,13.83,26.05,-34.73,3235,53
"May, Dustin",669160,CU,-2.49,54.01,5.07,2.57,-123.37,0.15,14.30,28.32,-33.64,3286,51
"May, Dustin",669160,FC,-2.39,53.87,5.12,8.31,-133.69,-2.02,-4.23,28.74,-28.28,2351,233
"May, Dustin",669160,FC,-2.42,53.95,5.23,4.31,-134.46,1.78,-2.80,28.86,-29.46,2261,221
"May, Dustin",669160,FF,-2.19,53.92,5.33,8.13,-142.15,-6.55,-10.74,30.83,-12.95,2300,225
"May, Dustin",669160,CU,-2.34,53.97,5.07,4.77,-125.22,-0.23,13.85,29.32,-37.47,3375,48
"May, Dustin",669160,CU,-2.50,54.19,5.04,2.92,-124.93,2.52,12.43,29.03,-38.93,3380,50
"May, Dustin",669160,SI,-2.46,54.06,4.99,9.77,-141.65,-4.05,-23.35,33.16,-23.39,2383,239
"May, Dustin",669160,CU,-2.50,54.03,5.04,3.63,-125.69,-0.04,12.94,26.86,-38.01,3293,46
"May, Dustin",669160,SI,-2.48,53.96,4.96,7.81,-142.09,-3.88,-24.10,34.50,-25.85,2273,238
"May, Dustin",669160,FC,-2.53,54.07,5.20,3.34,-135.85,2.31,-2.59,26.53,-30.56,2516,200
"May, Dustin",669160,CU,-2.50,53.97,5.02,5.52,-126.54,-3.28,14.98,27.23,-37.62,3280,42
"May, Dustin",669160,CU,-2.37,53.35,5.08,6.13,-126.66,-1.48,13.11,28.90,-38.01,3405,46
"May, Dustin",669160,CH,-2.48,54.07,4.93,7.40,-130.42,-4.10,-15.85,25.82,-29.85,1899,261
"May, Dustin",669160,CH,-2.53,53.77,4.93,8.40,-129.36,-7.07,-12.70,26.56,-29.82,2067,264
"May, Dustin",669160,FC,-2.34,54.06,5.26,6.35,-135.58,-1.26,-0.70,27.01,-25.75,2515,218
"May, Dustin",669160,CU,-2.53,54.10,5.03,4.29,-126.68,-1.11,14.53,28.60,-35.05,3418,48
"May, Dustin",669160,FC,-2.43,53.93,5.18,8.71,-137.04,-4.46,-4.01,29.27,-24.69,2431,217
"May, Dustin",669160,FC,-2.54,54.05,5.12,8.96,-137.02,-3.68,-3.48,28.94,-24.54,2443,230
"May, Dustin",669160,SI,-2.38,53.86,4.98,11.61,-141.77,-8.46,-23.69,32.42,-24.21,2427,234
"May, Dustin",669160,CU,-2.45,54.11,5.13,4.93,-126.20,-2.26,13.47,29.67,-36.21,3377,49
"May, Dustin",669160,FC,-2.43,53.95,5.11,7.86,-133.70,-2.54,-2.52,26.78,-28.12,2456,214
"May, Dustin",669160,CU,-2.57,54.33,5.17,-0.76,-123.03,4.06,17.32,26.14,-35.23,3185,47
"May, Dustin",669160,FC,-2.45,53.93,5.17,6.66,-135.70,-2.14,-3.95,28.34,-24.15,2359,226
"May, Dustin",669160,SI,-2.48,54.06,5.02,8.16,-140.66,-4.25,-21.52,29.65,-23.90,2320,236
"May, Dustin",669160,CH,-2.46,53.94,4.97,6.56,-128.99,-3.59,-16.52,26.39,-30.56,2005,355
"May, Dustin",669160,FF,-1.82,53.75,5.24,9.15,-142.45,-6.87,-6.09,33.99,-15.54,2294,229
"May, Dustin",669160,FC,-2.27,53.96,5.26,6.23,-134.39,-1.09,-2.41,27.97,-28.42,2609,206
"May, Dustin",669160,CU,-2.54,54.25,5.14,5.70,-125.16,-2.01,14.28,27.33,-35.30,3390,45
"May, Dustin",669160,SI,-2.41,54.01,5.02,9.06,-140.79,-4.33,-21.56,31.13,-23.68,2284,235
"May, Dustin",669160,SI,-2.49,54.01,5.01,7.98,-140.30,-2.24,-20.98,32.02,-23.71,2225,235
"May, Dustin",669160,SI,-2.39,53.98,5.03,5.46,-141.13,-0.32,-22.11,33.81,-23.46,2345,234
"May, Dustin",669160,FF,-2.35,53.96,5.28,8.13,-143.58,-6.28,-14.33,33.19,-14.44,2322,229
"May, Dustin",669160,CU,-2.54,54.13,5.14,1.36,-124.91,1.08,15.31,27.63,-35.17,3395,52
"May, Dustin",669160,FC,-2.35,53.87,5.13,5.83,-137.29,-4.61,-2.70,29.41,-23.04,2663,226
"May, Dustin",669160,FF,-2.33,53.93,5.27,6.03,-143.40,-1.36,-13.44,33.94,-14.81,2418,233
"May, Dustin",669160,FC,-2.66,54.71,5.19,7.32,-135.68,-2.22,-2.11,30.48,-23.00,2568,226
"May, Dustin",669160,SI,-2.61,53.99,5.15,4.92,-140.70,-1.17,-23.04,31.88,-22.86,2281,235
"May, Dustin",669160,SI,-2.42,54.16,5.06,9.30,-143.37,-1.04,-22.71,30.98,-26.02,2363,231
"May, Dustin",669160,SI,-2.52,54.48,5.05,8.34,-144.30,-2.96,-23.62,33.80,-22.33,2367,237
"May, Dustin",669160,CU,-2.49,53.81,5.13,5.68,-127.51,-3.07,14.77,29.92,-36.60,3432,42
"May, Dustin",669160,FF,-1.95,53.92,5.37,10.45,-144.94,-4.46,-14.71,34.49,-15.08,2345,228
"May, Dustin",669160,SI,-2.51,54.10,5.00,6.57,-144.18,-3.49,-24.57,36.12,-25.19,2353,238
"May, Dustin",669160,CU,-2.63,54.31,5.06,5.06,-126.48,-2.51,11.97,28.69,-34.81,3262,47
"May, Dustin",669160,SI,-2.32,54.10,5.05,10.06,-143.76,-5.26,-23.20,33.69,-21.82,2358,238
"May, Dustin",669160,FC,-2.38,53.43,5.15,4.85,-136.77,-1.77,-3.45,30.45,-28.96,2452,217
"May, Dustin",669160,SI,-2.50,54.12,5.10,8.96,-142.55,-4.56,-21.32,31.52,-21.47,2274,235
"May, Dustin",669160,FC,-2.41,53.75,5.15,9.21,-133.96,-4.21,-3.59,26.63,-28.84,2478,224
"May, Dustin",669160,FC,-2.51,54.09,5.23,6.83,-135.30,-0.44,-2.14,26.52,-28.48,2529,218
