Pitcher,ID,Pitch Type,xP0,yP0,zP0,xV0,yV0,zV0,xA0,yA0,zA0,Spin Rate,Spin Direction
"Diekman, Jake",518617,FF,2.92,54.09,5.60,-12.00,-139.98,-6.50,21.35,29.57,-18.77,2338,119
"Diekman, Jake",518617,SI,3.18,54.26,5.45,-11.70,-139.80,-2.63,22.47,31.39,-25.49,2164,114
"Diekman, Jake",518617,SI,2.98,54.11,5.59,-12.54,-138.99,-4.04,22.77,29.02,-23.57,2105,120
"Diekman, Jake",518617,FF,3.03,54.06,5.50,-10.02,-139.11,-8.78,22.82,31.37,-19.45,2255,118
"Diekman, Jake",518617,FF,3.04,54.11,5.65,-6.39,-140.23,-4.57,21.21,32.73,-18.72,2337,119
"Diekman, Jake",518617,FF,3.22,54.02,5.57,-9.44,-139.87,-8.46,22.92,27.85,-17.20,2435,125
"Diekman, Jake",518617,FF,3.03,53.85,5.52,-11.73,-139.99,-4.69,21.12,29.01,-17.23,2402,124
"Diekman, Jake",518617,SL,3.19,53.85,5.47,-7.67,-120.90,-2.65,-11.15,23.15,-33.41,2917,301
"Diekman, Jake",518617,FF,2.97,53.97,5.55,-14.60,-139.87,-8.95,22.25,28.56,-15.81,2480,124
"Diekman, Jake",518617,FF,2.89,53.99,5.57,-13.09,-140.70,-8.25,20.43,28.73,-16.76,2336,118
"Diekman, Jake",518617,SI,3.05,54.02,5.52,-10.43,-140.07,-6.10,23.26,30.44,-22.67,2212,120
"Diekman, Jake",518617,FF,3.10,54.19,5.58,-8.51,-141.27,-2.91,23.41,31.51,-17.83,2339,121
"Diekman, Jake",518617,SL,3.13,54.19,5.46,-9.80,-122.23,-2.28,-10.49,22.87,-31.77,2842,301
"Diekman, Jake",518617,SL,3.26,54.33,5.48,-7.07,-121.77,-2.43,-9.18,24.23,-30.72,2789,306
"Diekman, Jake",518617,FF,2.99,54.05,5.59,-13.35,-138.64,-8.34,23.60,28.74,-17.96,2336,122
"Diekman, Jake",518617,FF,2.98,54.32,5.71,-11.43,-139.00,-6.09,22.33,29.53,-19.18,2427,130
"Diekman, Jake",518617,FF,3.15,54.37,5.68,-9.21,-140.57,-3.59,23.95,33.57,-20.46,2352,114
"Diekman, Jake",518617,FF,3.12,54.27,5.72,-9.75,-139.79,-5.50,24.22,31.64,-16.95,2403,120
