Pitcher,ID,Pitch Type,xP0,yP0,zP0,xV0,yV0,zV0,xA0,yA0,zA0,Spin Rate,Spin Direction
"Duran, Jhoan",661395,FF,-1.90,54.17,6.11,8.47,-149.38,-9.49,-17.68,34.85,-10.62,2286,225
"Duran, Jhoan",661395,CU,-2.06,54.24,6.08,3.26,-129.16,-2.08,-0.09,27.09,-36.44,2548,42
"Duran, Jhoan",661395,CU,-2.04,54.21,6.12,4.24,-130.07,-2.30,1.96,26.19,-38.29,2676,60
"Duran, Jhoan",661395,FF,-1.94,54.31,6.06,6.08,-149.22,-6.63,-20.33,40.47,-13.56,2237,225
"Duran, Jhoan",661395,FS,-2.00,54.02,6.03,7.84,-143.76,-6.20,-21.44,35.16,-24.97,1737,224
"Duran, Jhoan",661395,FF,-1.91,54.05,6.03,8.13,-147.39,-8.55,-16.90,32.76,-12.10,2178,225
"Duran, Jhoan",661395,FF,-1.98,54.38,6.09,8.83,-150.63,-8.69,-19.52,38.15,-11.75,2295,224
"Duran, Jhoan",661395,CU,-1.87,54.31,6.19,10.87,-132.62,-4.95,-2.00,26.89,-35.83,2677,27
"Duran, Jhoan",661395,FF,-2.04,54.30,6.04,5.43,-149.45,-5.54,-19.85,36.36,-17.46,2261,224
"Duran, Jhoan",661395,CU,-1.92,54.36,6.17,8.66,-131.39,-4.85,1.94,25.20,-38.19,2788,26
"Duran, Jhoan",661395,FS,-1.94,54.18,6.01,6.36,-144.03,-7.18,-19.18,32.08,-30.80,1776,226
"Duran, Jhoan",661395,FF,-1.98,54.43,6.11,9.95,-149.22,-5.18,-16.80,35.90,-13.70,2295,225
"Duran, Jhoan",661395,CU,-1.82,54.43,6.10,7.98,-131.02,-4.57,0.88,25.51,-37.61,2638,21
"Duran, Jhoan",661395,FF,-1.97,54.31,6.15,8.75,-149.05,-9.32,-15.60,38.87,-9.36,2194,227
"Duran, Jhoan",661395,FF,-2.10,54.34,6.10,8.86,-148.97,-9.22,-18.26,39.54,-9.79,2333,221
"Duran, Jhoan",661395,FS,-2.19,54.28,6.00,6.23,-141.56,-5.21,-12.22,30.34,-28.46,1637,225
"Duran, Jhoan",661395,FF,-2.13,54.10,6.21,10.13,-147.57,-8.06,-17.23,35.04,-14.38,2108,220
"Duran, Jhoan",661395,CU,-2.22,54.15,6.15,4.67,-127.67,-4.77,0.18,24.07,-36.21,2621,42
"Duran, Jhoan",661395,FS,-2.16,54.12,6.08,5.92,-140.54,-2.75,-17.71,29.86,-31.56,1600,231
"Duran, Jhoan",661395,CU,-2.20,54.20,6.12,7.54,-125.87,-4.74,0.21,24.13,-33.21,2584,44
"Duran, Jhoan",661395,FS,-2.20,54.06,5.95,9.63,-139.18,-5.42,-16.32,29.59,-27.43,1521,232
"Duran, Jhoan",661395,FF,-1.96,54.09,6.12,10.27,-146.95,-7.16,-14.83,36.25,-14.28,2100,226
"Duran, Jhoan",661395,FF,-2.22,54.11,6.23,5.65,-145.77,-4.87,-15.15,36.57,-16.31,2004,221
"Duran, Jhoan",661395,FF,-2.17,54.22,6.19,6.66,-146.81,-6.10,-14.67,36.59,-13.10,2113,228
"Duran, Jhoan",661395,FF,-2.19,54.25,6.11,11.09,-145.26,-6.11,-15.69,34.27,-15.23,2065,225
"Duran, Jhoan",661395,CU,-1.88,54.22,6.24,4.44,-128.18,-2.88,2.35,24.40,-39.11,2578,47
