Pitcher,ID,Pitch Type,xP0,yP0,zP0,xV0,yV0,zV0,xA0,yA0,zA0,Spin Rate,Spin Direction
"Ryan, Joe",657746,FF,-2.60,53.93,4.82,9.37,-135.96,-5.20,-8.83,27.84,-16.94,2248,218
"Ryan, Joe",657746,SL,-2.46,54.04,4.94,8.04,-117.90,-0.67,5.17,21.78,-28.05,2375,66
"Ryan, Joe",657746,FF,-2.53,54.08,4.80,11.28,-135.81,-3.53,-8.80,28.18,-17.64,2277,220
"Ryan, Joe",657746,SL,-2.47,54.02,4.92,5.39,-116.62,-1.21,5.92,23.23,-28.32,2284,65
"Ryan, Joe",657746,FF,-2.49,54.01,4.84,10.64,-135.53,0.20,-8.60,26.92,-18.09,2252,215
"Ryan, Joe",657746,FF,-2.56,54.13,4.85,9.09,-133.94,-1.95,-8.18,27.91,-17.61,2262,213
"Ryan, Joe",657746,SL,-2.53,54.30,5.06,6.43,-117.25,0.11,5.11,23.74,-31.01,2211,68
"Ryan, Joe",657746,FF,-2.51,53.99,4.97,10.33,-133.26,-1.89,-8.23,27.54,-16.56,2162,216
"Ryan, Joe",657746,SL,-2.48,54.28,5.00,5.67,-115.97,-0.05,4.41,21.92,-30.91,2193,76
"Ryan, Joe",657746,FF,-2.48,54.12,4.93,8.45,-131.48,-1.05,-9.14,27.15,-17.13,2231,219
"Ryan, Joe",657746,FF,-2.58,53.91,4.93,10.86,-132.23,-3.19,-8.91,27.79,-15.85,2191,221
"Ryan, Joe",657746,FF,-2.49,53.92,4.90,11.67,-132.20,-4.14,-11.53,28.34,-16.43,2132,217
"Ryan, Joe",657746,FF,-2.67,54.24,4.93,6.04,-134.68,-0.62,-9.96,29.39,-18.96,2204,218
"Ryan, Joe",657746,FF,-2.48,54.33,5.09,7.14,-132.57,-1.55,-8.48,27.46,-18.09,2225,214
"Ryan, Joe",657746,FF,-2.57,54.22,4.96,4.25,-133.57,-2.01,-8.79,28.92,-20.25,2167,215
"Ryan, Joe",657746,FF,-2.64,53.98,4.80,8.75,-131.65,-3.74,-8.99,25.48,-16.40,2026,222
"Ryan, Joe",657746,FF,-2.57,54.22,4.85,7.71,-134.37,-0.85,-9.40,26.65,-19.07,2063,220
"Ryan, Joe",657746,FF,-2.63,53.90,4.88,7.92,-134.50,-2.12,-11.93,29.87,-16.04,2247,222
"Ryan, Joe",657746,SL,-2.45,54.25,4.89,4.20,-114.56,0.44,8.80,22.21,-27.23,2129,70
"Ryan, Joe",657746,SL,-2.59,54.23,4.95,8.22,-117.36,-5.18,2.79,23.44,-29.15,2167,63
"Ryan, Joe",657746,FF,-2.59,53.99,4.79,5.15,-133.85,0.38,-7.34,27.23,-19.67,2224,214
"Ryan, Joe",657746,CU,-2.51,54.49,5.12,0.08,-110.90,2.75,7.24,19.21,-40.02,2384,62
