Pitcher,ID,Pitch Type,xP0,yP0,zP0,xV0,yV0,zV0,xA0,yA0,zA0,Spin Rate,Spin Direction
"Verlander, Justin",434378,FF,-1.36,54.53,7.10,4.27,-136.49,-7.97,-8.88,33.26,-8.04,2412,208
"Verlander, Justin",434378,SL,-1.55,54.46,6.98,3.70,-126.92,-7.18,5.03,27.33,-29.59,2548,139
"Verlander, Justin",434378,SL,-1.65,54.39,6.97,4.19,-125.28,-7.73,4.31,26.61,-29.64,2436,120
"Verlander, Justin",434378,SL,-1.50,54.35,6.99,5.51,-124.25,-5.26,4.67,25.88,-30.69,2344,123
"Verlander, Justin",434378,SL,-1.46,54.43,7.14,1.20,-123.34,-1.48,4.40,24.39,-32.95,2372,99
"Verlander, Justin",434378,SL,-1.50,54.42,7.01,4.44,-128.20,-6.12,4.53,24.96,-27.13,2502,170
"Verlander, Justin",434378,CU,-1.62,54.47,7.02,2.62,-114.87,-2.78,3.94,24.42,-42.67,2717,41
"Verlander, Justin",434378,SL,-1.76,54.45,7.01,4.15,-126.13,-7.53,4.71,27.23,-27.96,2393,154
"Verlander, Justin",434378,SL,-1.54,54.61,7.04,5.69,-126.67,-7.03,6.84,27.58,-27.61,2404,147
"Verlander, Justin",434378,FF,-1.35,54.44,7.09,7.61,-138.92,-9.87,-12.77,35.13,-7.63,2301,209
"Verlander, Justin",434378,FF,-1.29,54.30,7.07,5.71,-137.37,-9.80,-10.94,34.42,-7.54,2513,209
"Verlander, Justin",434378,FF,-1.43,54.57,7.10,3.34,-139.04,-6.72,-12.04,34.01,-9.23,2454,208
"Verlander, Justin",434378,FF,-1.41,54.45,7.12,5.47,-138.05,-8.15,-11.50,33.33,-8.15,2440,210
"Verlander, Justin",434378,FF,-1.31,54.51,7.14,5.43,-136.77,-9.59,-10.15,33.87,-7.01,2407,211
"Verlander, Justin",434378,SL,-1.60,54.42,7.07,2.86,-121.84,-0.80,3.31,22.40,-30.09,2311,117
"Verlander, Justin",434378,FF,-1.39,54.57,7.17,7.09,-137.40,-4.40,-13.16,34.71,-9.86,2529,207
"Verlander, Justin",434378,FF,-1.38,54.57,7.15,2.18,-134.33,-7.25,-10.15,32.99,-9.78,2482,209
"Verlander, Justin",434378,FF,-1.28,54.57,7.15,5.35,-136.25,-5.17,-13.34,33.80,-10.42,2535,208
"Verlander, Justin",434378,FF,-1.61,54.76,7.10,0.95,-135.80,-7.63,-10.83,32.81,-9.00,2423,209
"Verlander, Justin",434378,FF,-1.53,54.68,7.17,3.67,-133.79,-7.17,-13.43,31.65,-11.59,2429,206
"Verlander, Justin",434378,FF,-1.33,54.49,7.09,3.50,-139.14,-11.74,-10.91,34.34,-8.04,2282,207
"Verlander, Justin",434378,CU,-1.59,54.58,7.06,3.15,-113.57,-3.55,8.84,23.31,-39.86,2683,42
"Verlander, Justin",434378,SL,-1.42,54.60,6.99,3.75,-126.62,-5.10,2.17,24.97,-27.41,2494,131
"Verlander, Justin",434378,CU,-1.47,54.51,7.08,2.89,-114.36,-1.20,5.92,22.73,-39.82,2629,39
"Verlander, Justin",434378,SL,-1.45,54.46,6.95,2.07,-128.87,-7.88,4.86,25.98,-26.74,2287,156
"Verlander, Justin",434378,FF,-1.22,54.56,7.05,3.67,-139.66,-9.63,-9.23,35.09,-8.43,2431,210
"Verlander, Justin",434378,CU,-1.48,54.44,6.87,3.44,-118.47,-2.44,4.85,23.49,-41.99,2619,40
"Verlander, Justin",434378,FF,-1.29,54.64,7.07,5.48,-138.44,-8.01,-9.90,33.76,-8.20,2333,208
"Verlander, Justin",434378,FF,-1.25,54.52,7.10,4.80,-136.58,-9.58,-13.01,31.69,-9.28,2335,212
"Verlander, Justin",434378,FF,-1.44,54.65,7.10,3.20,-136.29,-10.80,-11.57,32.14,-8.76,2367,211
"Verlander, Justin",434378,FF,-1.62,54.64,7.19,2.04,-134.30,-6.41,-12.98,31.30,-10.81,2295,212
"Verlander, Justin",434378,SL,-1.30,54.52,7.04,2.60,-126.08,-4.79,3.66,25.44,-32.03,2315,106
"Verlander, Justin",434378,CU,-1.54,54.71,7.02,-0.21,-115.20,-0.09,5.83,23.26,-42.76,2625,39
"Verlander, Justin",434378,FF,-1.27,54.76,7.12,4.85,-139.80,-7.47,-9.16,32.27,-10.38,2381,205
"Verlander, Justin",434378,SL,-1.57,54.64,7.00,4.99,-127.72,-5.92,3.59,26.39,-28.85,2260,169
"Verlander, Justin",434378,FF,-1.17,54.60,7.11,5.81,-138.42,-8.94,-9.27,32.23,-10.16,2450,210
"Verlander, Justin",434378,FF,-1.23,54.73,7.17,5.86,-137.55,-8.02,-10.86,31.65,-9.76,2461,209
"Verlander, Justin",434378,FF,-1.34,54.64,7.11,2.16,-137.24,-12.57,-11.89,32.24,-7.33,2432,210
"Verlander, Justin",434378,SL,-1.27,54.58,7.09,3.85,-127.92,-8.19,3.66,25.77,-28.41,2335,155
"Verlander, Justin",434378,FF,-1.16,54.50,7.09,4.55,-139.69,-10.77,-8.64,32.33,-7.51,2404,202
"Verlander, Justin",434378,SL,-1.36,54.45,7.12,5.57,-125.97,-8.68,2.11,25.08,-24.81,2336,163
"Verlander, Justin",434378,SL,-1.49,54.31,7.08,3.69,-125.72,-7.53,3.92,24.56,-26.70,2497,135
"Verlander, Justin",434378,SL,-1.50,54.75,7.05,5.46,-126.83,-6.53,5.12,26.26,-27.37,2454,137
"Verlander, Justin",434378,SL,-1.48,54.68,7.03,4.58,-125.95,-5.01,3.34,24.53,-26.23,2418,131
"Verlander, Justin",434378,CU,-1.55,54.83,7.11,1.57,-110.84,-0.90,4.15,22.45,-41.62,2706,41
"Verlander, Justin",434378,FF,-1.58,54.55,7.22,4.03,-134.17,-10.06,-10.91,31.10,-10.71,2374,206
"Verlander, Justin",434378,SL,-1.32,54.69,7.05,2.65,-127.75,-10.46,3.89,27.65,-25.92,2401,188
"Verlander, Justin",434378,SL,-1.34,54.43,7.05,3.66,-128.80,-8.84,4.90,26.44,-25.37,2350,188
"Verlander, Justin",434378,SL,-1.39,54.77,7.10,3.13,-126.53,-6.82,2.40,27.22,-27.98,2326,174
"Verlander, Justin",434378,CU,-1.56,54.76,7.08,0.19,-113.15,-2.78,5.51,22.34,-38.95,2614,42
"Verlander, Justin",434378,CH,-1.51,54.56,6.93,3.90,-126.37,-7.29,-14.37,25.49,-23.38,1686,227
"Verlander, Justin",434378,SL,-1.30,54.46,7.05,4.67,-128.69,-9.51,2.15,28.96,-26.27,2253,162
"Verlander, Justin",434378,SL,-1.44,54.87,7.16,2.42,-124.94,-2.33,3.27,26.41,-31.86,2373,138
"Verlander, Justin",434378,FF,-1.18,54.67,7.19,4.85,-137.60,-5.42,-11.51,33.33,-12.22,2277,204
"Verlander, Justin",434378,FF,-1.16,54.48,7.23,5.02,-137.23,-8.05,-9.60,32.55,-9.32,2204,205
"Verlander, Justin",434378,SL,-1.44,54.65,7.04,5.26,-126.97,-7.71,1.96,27.55,-27.22,2207,171
"Verlander, Justin",434378,FF,-1.09,54.52,7.12,3.96,-138.60,-8.78,-9.38,34.68,-8.56,2363,206
"Verlander, Justin",434378,FF,-1.20,54.55,7.07,4.96,-139.33,-8.38,-8.03,35.44,-6.23,2558,205
"Verlander, Justin",434378,FF,-1.15,54.55,7.20,4.41,-135.96,-8.52,-7.41,32.94,-7.99,2444,204
"Verlander, Justin",434378,FF,-1.34,54.64,7.14,4.70,-137.02,-6.63,-9.09,34.41,-8.63,2470,210
"Verlander, Justin",434378,FF,-1.26,54.70,7.15,2.63,-136.85,-7.75,-7.37,34.56,-7.36,2502,207
"Verlander, Justin",434378,FF,-1.42,54.66,7.18,3.14,-135.30,-9.10,-9.31,33.22,-8.09,2459,206
"Verlander, Justin",434378,CU,-1.62,54.83,7.15,1.26,-111.72,1.07,4.05,22.71,-41.62,2674,45
"Verlander, Justin",434378,FF,-1.01,54.44,7.12,5.48,-139.94,-9.34,-12.16,34.23,-10.00,2362,205
"Verlander, Justin",434378,FF,-1.16,54.48,7.14,7.77,-139.01,-7.41,-8.70,32.77,-10.60,2334,209
"Verlander, Justin",434378,FF,-1.14,54.61,7.12,4.29,-138.19,-9.08,-11.81,32.67,-10.21,2332,209
"Verlander, Justin",434378,FF,-1.24,54.62,7.08,4.02,-138.55,-8.81,-10.95,32.54,-10.59,2317,210
"Verlander, Justin",434378,FF,-1.30,54.64,7.12,5.37,-137.16,-12.48,-11.17,31.77,-9.21,2300,212
"Verlander, Justin",434378,FF,-1.19,54.56,7.13,5.28,-138.92,-12.23,-10.85,34.37,-8.40,2437,206
"Verlander, Justin",434378,CU,-1.55,54.58,7.05,0.49,-114.28,-2.91,4.24,24.35,-41.72,2639,34
"Verlander, Justin",434378,FF,-1.20,54.66,7.24,4.73,-137.83,-7.46,-9.72,32.44,-9.87,2390,204
"Verlander, Justin",434378,SL,-1.26,54.49,7.02,4.16,-128.28,-7.59,4.88,26.25,-27.73,2361,163
"Verlander, Justin",434378,FF,-1.37,54.52,7.17,3.40,-137.93,-9.63,-11.04,32.93,-7.77,2362,213
"Verlander, Justin",434378,FF,-1.26,54.65,7.14,2.71,-138.80,-7.44,-12.11,34.48,-10.13,2430,209
"Verlander, Justin",434378,FF,-1.18,54.74,7.15,2.86,-138.80,-7.04,-8.34,34.36,-7.01,2419,204
"Verlander, Justin",434378,FF,-1.25,54.71,7.18,4.02,-138.49,-5.12,-10.67,34.54,-9.42,2364,208
