Pitcher,ID,Pitch Type,xP0,yP0,zP0,xV0,yV0,zV0,xA0,yA0,zA0,Spin Rate,Spin Direction
"Hill, Rich",448179,FF,1.35,54.18,5.83,-2.92,-130.04,-0.99,7.35,29.56,-15.71,2197,148
"Hill, Rich",448179,FF,1.54,54.10,5.82,-2.92,-129.71,-2.59,8.61,29.77,-12.94,2288,151
"Hill, Rich",448179,SL,2.52,54.54,3.96,-2.20,-100.37,5.09,-11.11,19.92,-31.46,2551,273
"Hill, Rich",448179,FF,1.34,54.22,5.73,-5.17,-127.47,-5.34,12.25,28.88,-13.13,2184,143
"Hill, Rich",448179,FC,1.78,54.28,5.60,-1.75,-120.11,-1.26,-0.47,22.81,-28.13,2143,185
"Hill, Rich",448179,CU,1.22,54.21,5.73,-1.95,-107.42,1.95,-9.73,22.31,-41.65,2629,319
"Hill, Rich",448179,FF,1.41,54.29,5.90,-5.87,-128.91,-2.01,5.12,27.84,-14.94,2175,149
"Hill, Rich",448179,CU,1.24,54.23,5.74,-3.36,-107.78,-0.35,-9.16,24.21,-42.89,2692,320
"Hill, Rich",448179,CU,1.50,54.30,5.74,1.55,-105.79,4.62,-12.40,20.73,-43.49,2634,317
"Hill, Rich",448179,FF,1.29,54.26,5.82,-3.54,-130.94,-4.58,8.39,30.58,-10.98,2319,146
"Hill, Rich",448179,FF,1.30,54.17,5.81,-6.24,-129.75,-5.58,8.71,29.73,-11.44,2354,145
"Hill, Rich",448179,CU,1.39,54.12,5.79,-1.44,-105.65,2.00,-9.59,22.72,-43.35,2660,321
"Hill, Rich",448179,CU,1.26,54.25,5.80,0.52,-105.20,1.41,-9.50,21.95,-42.94,2678,319
"Hill, Rich",448179,CU,1.47,54.23,5.72,0.88,-105.34,3.03,-12.20,21.72,-41.09,2590,314
"Hill, Rich",448179,FF,1.29,54.32,5.85,-6.96,-126.72,-2.94,6.06,25.82,-15.65,2255,149
"Hill, Rich",448179,CU,1.33,54.29,5.72,-0.64,-107.68,0.94,-9.87,22.74,-41.85,2701,321
"Hill, Rich",448179,CU,1.79,54.44,5.62,-0.85,-104.30,4.60,-13.27,22.22,-38.53,2506,300
"Hill, Rich",448179,CU,1.43,54.69,5.73,-1.09,-106.61,2.33,-11.65,21.08,-41.42,2710,316
"Hill, Rich",448179,FF,1.21,54.11,5.87,-6.81,-128.80,-8.29,7.57,29.50,-10.24,2248,142
"Hill, Rich",448179,CU,1.26,54.44,5.77,-1.00,-104.72,3.81,-9.26,25.97,-44.58,2614,317
"Hill, Rich",448179,CU,1.14,54.16,5.86,2.17,-104.48,4.48,-9.27,23.65,-43.90,2577,317
"Hill, Rich",448179,FF,1.26,54.20,5.97,-6.19,-128.88,-3.10,6.72,29.64,-12.64,2272,154
"Hill, Rich",448179,CU,1.40,54.39,5.66,-1.22,-106.79,0.26,-9.97,24.58,-42.71,2713,320
"Hill, Rich",448179,FC,1.56,54.33,5.71,-1.03,-122.46,-0.03,-2.54,20.46,-24.10,2295,182
"Hill, Rich",448179,CU,1.44,54.23,5.78,1.25,-105.25,4.25,-12.33,23.28,-44.86,2786,313
"Hill, Rich",448179,CU,1.47,54.28,5.89,0.96,-104.45,2.10,-9.83,20.98,-43.38,2722,318
"Hill, Rich",448179,FF,1.17,53.87,5.87,-5.11,-128.23,-3.70,6.49,28.00,-12.51,2192,151
"Hill, Rich",448179,FF,1.34,54.03,5.93,-5.60,-127.48,-5.34,4.57,25.97,-13.52,2296,150
"Hill, Rich",448179,FF,1.47,54.05,5.82,-5.28,-127.90,-4.90,9.49,26.84,-13.36,2317,149
"Hill, Rich",448179,FF,1.38,54.34,5.87,-5.30,-129.87,-5.01,10.87,30.11,-12.99,2381,153
"Hill, Rich",448179,CU,1.39,54.22,5.73,-2.00,-106.59,1.26,-11.47,26.53,-43.56,2836,315
"Hill, Rich",448179,FC,1.58,54.47,5.79,-4.14,-122.07,-4.01,-6.11,22.15,-26.67,2335,186
"Hill, Rich",448179,CU,1.26,54.38,5.78,-0.80,-106.08,0.73,-11.85,23.32,-42.83,2576,317
"Hill, Rich",448179,CU,1.23,54.28,5.91,-2.37,-106.08,2.84,-10.34,24.23,-44.79,2678,321
"Hill, Rich",448179,FF,1.41,54.10,5.93,-7.09,-128.05,-1.54,4.27,27.74,-12.99,2248,159
"Hill, Rich",448179,CH,2.63,54.41,4.12,-8.81,-120.11,5.21,17.40,25.07,-34.43,2087,94
"Hill, Rich",448179,FF,1.37,54.39,5.87,-5.68,-130.32,-3.35,6.22,31.34,-11.47,2113,146
"Hill, Rich",448179,FF,1.44,54.31,5.84,-7.04,-130.16,-2.14,7.80,29.78,-12.42,2229,155
"Hill, Rich",448179,SL,2.28,54.81,4.22,-0.14,-101.44,2.29,-12.87,21.40,-33.10,2571,274
"Hill, Rich",448179,SL,2.40,54.93,3.38,-4.41,-97.30,3.13,-11.00,19.32,-29.55,2382,266
"Hill, Rich",448179,FC,1.58,54.36,5.67,-4.95,-123.79,-1.65,-4.54,21.22,-25.80,2295,176
"Hill, Rich",448179,SL,2.37,54.54,4.20,-0.09,-100.93,4.68,-14.46,18.03,-33.21,2556,275
"Hill, Rich",448179,FC,1.60,54.30,5.78,-3.37,-121.47,-2.47,-3.82,21.70,-26.61,2297,170
"Hill, Rich",448179,CH,2.53,54.49,4.08,-4.30,-120.05,4.15,12.20,23.61,-33.69,2023,103
"Hill, Rich",448179,FF,1.29,54.11,5.83,-4.91,-130.34,-4.25,7.28,28.92,-13.14,2275,145
"Hill, Rich",448179,CU,1.34,54.44,5.81,-1.74,-106.19,4.67,-12.07,23.27,-42.25,2576,315
"Hill, Rich",448179,CU,1.35,54.15,5.90,0.80,-105.02,4.44,-8.33,23.08,-43.12,2668,319
"Hill, Rich",448179,FF,1.52,54.25,5.81,-5.15,-128.48,-2.35,6.00,29.78,-13.82,2190,157
"Hill, Rich",448179,FC,1.56,54.36,5.74,-5.18,-122.41,-1.82,-3.03,26.02,-27.68,2329,172
"Hill, Rich",448179,CU,1.31,54.33,5.87,-0.10,-106.38,2.61,-11.08,24.47,-44.66,2619,322
"Hill, Rich",448179,FF,1.28,54.29,5.88,-4.05,-130.85,-4.35,8.20,30.28,-12.75,2224,150
