Pitcher,ID,Pitch Type,xP0,yP0,zP0,xV0,yV0,zV0,xA0,yA0,zA0,Spin Rate,Spin Direction
"Woods Richardson, Simeon",680573,CU,-0.24,53.90,6.50,-0.84,-105.52,3.07,-0.56,19.02,-43.72,2466,9
"Woods Richardson, Simeon",680573,CH,-0.81,53.62,6.43,2.70,-117.23,-7.78,-11.35,20.74,-18.33,2288,222
"Woods Richardson, Simeon",680573,FF,-0.25,53.66,6.56,2.14,-131.81,-7.11,3.75,27.05,-12.08,2286,177
"Woods Richardson, Simeon",680573,CU,-0.05,53.83,6.55,0.36,-108.83,-2.61,0.70,21.03,-44.10,2440,358
"Woods Richardson, Simeon",680573,CU,0.22,53.88,6.59,-0.17,-106.99,1.49,0.56,21.13,-42.19,2430,5
"Woods Richardson, Simeon",680573,FF,-0.36,53.76,6.64,1.70,-130.39,-4.31,3.47,28.40,-11.64,2105,168
"Woods Richardson, Simeon",680573,CH,-0.53,53.66,6.49,1.54,-117.81,-9.54,-6.87,21.68,-15.18,2201,216
"Woods Richardson, Simeon",680573,CU,-0.26,53.77,6.57,-1.08,-106.98,-0.51,2.27,19.73,-43.22,2546,4
"Woods Richardson, Simeon",680573,CU,-0.22,53.48,6.61,-0.22,-106.32,-0.64,3.45,19.63,-42.12,2547,0
"Woods Richardson, Simeon",680573,CH,-0.73,53.71,6.53,0.09,-117.04,-3.34,-6.73,22.33,-18.50,1823,227
"Woods Richardson, Simeon",680573,FF,-0.11,53.66,6.66,-2.50,-132.73,-5.01,3.91,25.67,-12.21,2177,172
"Woods Richardson, Simeon",680573,CU,0.09,53.93,6.58,-1.62,-109.04,0.16,-2.89,20.49,-41.26,2454,357
"Woods Richardson, Simeon",680573,FF,-0.26,54.03,6.69,0.19,-132.15,-5.45,0.33,30.14,-11.52,2024,177
"Woods Richardson, Simeon",680573,FF,-0.17,53.94,6.69,-0.54,-130.00,-5.63,-1.24,28.88,-11.70,2149,177
"Woods Richardson, Simeon",680573,FF,-0.39,53.91,6.76,-3.46,-131.20,-4.09,-0.54,29.90,-13.25,2176,177
"Woods Richardson, Simeon",680573,FF,-0.30,54.09,6.72,-0.14,-129.51,-6.01,-4.07,28.55,-11.81,2122,176
"Woods Richardson, Simeon",680573,SL,-0.38,53.91,6.59,0.64,-120.76,-3.00,5.28,21.02,-30.58,2259,122
"Woods Richardson, Simeon",680573,SL,-0.46,53.90,6.59,-0.75,-117.51,-3.46,5.39,19.52,-32.23,2324,103
"Woods Richardson, Simeon",680573,SL,-0.55,53.75,6.48,3.04,-120.80,-4.05,5.82,20.27,-30.93,2340,127
"Woods Richardson, Simeon",680573,FF,-0.10,53.76,6.62,1.58,-133.61,-8.14,1.69,29.63,-10.86,2214,171
"Woods Richardson, Simeon",680573,CH,-0.59,53.57,6.44,2.48,-116.01,-3.14,-8.83,18.93,-20.66,2178,223
"Woods Richardson, Simeon",680573,FF,-0.62,53.87,6.68,1.65,-133.20,-5.82,3.49,23.22,-13.63,2264,175
"Woods Richardson, Simeon",680573,FF,-0.17,54.20,6.75,-0.78,-133.43,-7.70,3.28,28.07,-11.05,2304,173
"Woods Richardson, Simeon",680573,FF,-0.42,53.96,6.70,-1.68,-131.18,-4.81,3.60,25.56,-14.56,2222,179
"Woods Richardson, Simeon",680573,SL,-0.45,53.84,6.55,2.58,-123.56,-3.39,5.30,23.08,-27.65,2181,142
"Woods Richardson, Simeon",680573,FF,-0.12,53.70,6.70,1.17,-131.91,-2.25,3.22,28.45,-13.24,2110,171
"Woods Richardson, Simeon",680573,CU,0.15,53.73,6.56,0.13,-109.98,-2.01,0.11,20.22,-41.99,2460,2
"Woods Richardson, Simeon",680573,FF,-0.02,53.76,6.66,-0.85,-130.56,-3.96,2.90,26.27,-14.36,1968,171
"Woods Richardson, Simeon",680573,SL,-0.53,54.07,6.67,3.35,-125.01,-10.46,4.99,21.58,-17.45,2315,169
"Woods Richardson, Simeon",680573,FF,0.06,54.03,6.83,0.05,-129.66,-10.07,6.72,28.30,-10.42,2249,175
"Woods Richardson, Simeon",680573,CU,-0.15,54.07,6.69,0.13,-105.41,-0.79,1.27,18.56,-40.79,2384,17
"Woods Richardson, Simeon",680573,SL,-0.43,53.87,6.57,-0.34,-121.25,-2.96,6.79,24.97,-28.49,2152,142
"Woods Richardson, Simeon",680573,SL,-0.53,53.85,6.57,2.43,-122.74,-2.84,6.03,25.84,-28.31,2112,148
"Woods Richardson, Simeon",680573,CH,-0.23,53.60,6.49,1.33,-116.52,-4.62,-10.58,24.15,-18.83,2213,218
"Woods Richardson, Simeon",680573,SL,-0.51,53.72,6.52,2.70,-123.24,-7.25,7.79,21.97,-27.79,2411,129
"Woods Richardson, Simeon",680573,SL,-0.41,53.70,6.61,0.62,-122.53,-6.46,5.29,22.11,-25.97,2392,126
"Woods Richardson, Simeon",680573,SL,-0.34,53.58,6.50,4.08,-122.85,-9.43,3.74,24.00,-25.91,2303,136
"Woods Richardson, Simeon",680573,FF,0.14,53.48,6.58,-1.18,-134.61,-7.18,0.86,31.16,-9.12,2120,174
"Woods Richardson, Simeon",680573,FF,-0.44,53.72,6.64,0.87,-133.17,-5.04,4.65,27.38,-12.04,2183,169
"Woods Richardson, Simeon",680573,FF,-0.22,53.67,6.63,-0.36,-134.09,-7.69,3.33,26.07,-12.28,2181,171
"Woods Richardson, Simeon",680573,FF,-0.38,53.79,6.68,-1.34,-132.06,-6.02,3.45,26.81,-11.83,2145,172
"Woods Richardson, Simeon",680573,CU,-0.02,53.94,6.69,0.60,-109.20,1.19,-3.07,18.76,-42.35,2484,6
"Woods Richardson, Simeon",680573,CU,-0.41,54.13,6.66,-0.67,-107.53,3.31,-0.34,19.07,-42.40,2420,8
"Woods Richardson, Simeon",680573,FF,-0.16,53.79,6.60,1.20,-134.10,-8.89,1.99,28.09,-11.78,2199,172
"Woods Richardson, Simeon",680573,FF,-0.15,53.87,6.76,0.21,-130.35,-7.29,-1.15,25.21,-11.11,2262,180
"Woods Richardson, Simeon",680573,FF,-0.38,53.92,6.77,0.14,-129.98,-5.82,-3.42,25.93,-11.20,2224,180
"Woods Richardson, Simeon",680573,FF,-0.11,53.66,6.59,-0.38,-132.07,-6.51,1.64,29.16,-10.13,2245,173
"Woods Richardson, Simeon",680573,FF,-0.28,53.56,6.48,-0.43,-132.98,-9.53,2.58,26.88,-10.46,2292,175
"Woods Richardson, Simeon",680573,FF,-0.46,53.47,6.52,1.43,-133.59,-9.43,0.72,31.65,-8.81,2309,176
"Woods Richardson, Simeon",680573,FF,-0.19,53.68,6.65,-1.61,-131.82,-8.17,0.93,28.58,-12.04,2130,173
"Woods Richardson, Simeon",680573,SL,-0.39,53.75,6.55,1.15,-121.16,-10.96,4.89,23.75,-25.55,2208,152
"Woods Richardson, Simeon",680573,SL,-0.62,53.91,6.43,1.17,-122.71,-5.73,5.75,22.87,-25.62,2210,149
"Woods Richardson, Simeon",680573,FF,-0.08,53.51,6.41,-0.35,-132.16,-7.65,0.14,26.26,-14.34,2061,172
"Woods Richardson, Simeon",680573,FF,-0.07,53.73,6.59,0.86,-131.42,-9.30,3.39,26.77,-12.03,2017,177
"Woods Richardson, Simeon",680573,FF,-0.11,53.71,6.62,-0.81,-133.10,-3.35,3.25,29.97,-11.75,2010,167
"Woods Richardson, Simeon",680573,CU,-0.17,53.93,6.55,1.49,-108.65,4.08,-2.09,18.92,-43.37,2438,4
"Woods Richardson, Simeon",680573,CH,-0.56,54.06,6.52,0.98,-116.33,-3.44,-8.08,17.75,-21.75,1831,227
"Woods Richardson, Simeon",680573,FF,-0.36,53.88,6.65,0.93,-133.62,-3.03,2.98,28.48,-13.33,2110,171
"Woods Richardson, Simeon",680573,CU,-0.01,54.12,6.50,-1.60,-110.44,-2.53,0.99,18.56,-40.31,2486,0
"Woods Richardson, Simeon",680573,FF,-0.17,53.72,6.57,1.08,-131.57,-5.22,2.10,28.89,-14.82,1994,174
"Woods Richardson, Simeon",680573,FF,-0.23,53.82,6.64,-1.03,-130.17,-6.50,3.31,29.43,-11.98,2171,172
"Woods Richardson, Simeon",680573,FF,-0.41,53.63,6.61,-1.83,-132.40,-7.83,0.26,31.09,-9.68,2217,177
"Woods Richardson, Simeon",680573,FF,-0.08,53.58,6.51,-1.72,-131.00,-8.38,2.95,28.90,-11.83,2105,173
"Woods Richardson, Simeon",680573,FF,-0.21,53.39,6.47,-1.64,-131.79,-13.29,-0.68,29.53,-8.76,2105,170
"Woods Richardson, Simeon",680573,FF,-0.18,53.56,6.58,-4.19,-131.29,-8.93,1.92,29.86,-9.62,2132,177
"Woods Richardson, Simeon",680573,FF,-0.24,53.64,6.49,-1.62,-131.41,-7.29,-0.18,27.58,-12.55,2113,177
"Woods Richardson, Simeon",680573,CH,-0.44,53.68,6.33,6.09,-118.98,-6.44,-9.98,23.70,-16.32,2193,224
