Pitcher,ID,Pitch Type,xP0,yP0,zP0,xV0,yV0,zV0,xA0,yA0,zA0,Spin Rate,Spin Direction
"Astudillo, Willians",553902,EP,-1.26,55.64,6.45,2.29,-56.73,9.27,-0.35,5.62,-29.77,924,182
"Astudillo, Willians",553902,EP,-1.15,55.27,6.26,3.17,-57.75,9.06,0.08,5.87,-29.57,952,182
"Astudillo, Willians",553902,FA,-1.63,55.40,5.93,3.01,-103.72,-0.48,-2.75,18.31,-22.46,1605,207
"Astudillo, Willians",553902,EP,-1.28,55.79,6.65,1.41,-56.50,9.02,0.01,5.56,-29.89,870,187
"Astudillo, Willians",553902,EP,-1.52,55.63,6.51,2.52,-67.62,7.45,-0.53,7.80,-28.64,1048,194
"Astudillo, Willians",553902,EP,-1.55,55.55,6.31,2.53,-73.31,6.22,-1.44,8.61,-27.63,1071,202
"Astudillo, Willians",553902,FA,-1.70,55.73,6.06,0.81,-100.27,0.10,-4.49,16.48,-23.21,1608,213
"Astudillo, Willians",553902,EP,-1.23,56.37,6.87,3.24,-56.89,7.28,-0.55,5.66,-30.18,831,187
"Astudillo, Willians",553902,EP,-1.79,55.87,6.49,2.41,-57.78,8.13,0.36,6.14,-29.95,932,182
"Astudillo, Willians",553902,EP,-1.64,55.80,6.42,3.29,-66.94,6.11,-1.09,7.61,-28.71,1010,198
"Astudillo, Willians",553902,FA,-2.03,55.38,5.93,2.42,-102.66,-0.51,-3.69,17.45,-21.72,1585,210
"Astudillo, Willians",553902,EP,-1.70,55.78,6.22,0.72,-64.44,6.93,-1.00,8.99,-30.25,241,140
"Astudillo, Willians",553902,EP,-1.63,56.11,6.42,1.90,-64.69,6.87,0.56,7.29,-28.84,1048,194
"Astudillo, Willians",553902,FA,-1.73,55.23,5.85,2.79,-102.93,1.24,-3.70,17.93,-21.80,1463,212
"Astudillo, Willians",553902,EP,-1.68,55.26,6.06,0.92,-59.33,9.84,0.37,6.34,-29.94,886,189
"Astudillo, Willians",553902,FA,-2.03,55.31,5.75,3.70,-106.30,-0.19,-4.24,19.40,-20.98,1668,213
"Astudillo, Willians",553902,EP,-1.83,56.17,6.53,3.36,-62.91,8.23,-0.67,6.79,-29.47,982,199
"Astudillo, Willians",553902,EP,-1.79,56.27,6.58,3.50,-60.71,8.07,-0.48,6.51,-29.31,929,195
"Astudillo, Willians",553902,EP,-2.04,55.69,6.21,5.61,-66.59,5.06,-2.92,10.21,-32.97,178,173
"Astudillo, Willians",553902,EP,-1.70,55.93,6.30,1.30,-64.80,6.17,0.12,9.19,-30.18,89,156
"Astudillo, Willians",553902,FA,-1.87,55.48,6.07,5.98,-107.11,-4.79,-4.63,20.11,-18.50,1769,211
"Astudillo, Willians",553902,EP,-1.98,56.56,6.62,0.95,-53.57,9.86,0.68,5.41,-30.13,914,196
"Astudillo, Willians",553902,EP,-2.08,56.02,6.22,0.52,-62.74,8.58,-0.84,8.78,-29.55,293,102
"Astudillo, Willians",553902,FA,-1.77,55.53,5.89,4.75,-115.68,-4.44,-5.54,21.53,-17.22,1819,210
"Astudillo, Willians",553902,EP,-1.85,55.63,5.84,0.41,-74.95,3.87,-4.38,10.77,-30.62,2780,197
"Astudillo, Willians",553902,EP,-1.68,56.19,6.69,2.45,-56.66,7.97,0.10,5.23,-28.94,928,188
"Astudillo, Willians",553902,FA,-1.87,55.50,5.93,2.57,-113.32,-1.91,-7.13,19.71,-22.20,1704,210
"Astudillo, Willians",553902,EP,-2.03,55.70,6.43,1.67,-59.64,9.19,-0.54,6.45,-30.15,841,191
"Astudillo, Willians",553902,FA,-1.97,55.54,5.83,4.24,-111.49,-1.97,-5.88,19.56,-19.74,1783,216
"Astudillo, Willians",553902,EP,-1.88,55.79,6.45,0.26,-53.54,8.81,0.21,5.17,-30.32,833,191
"Astudillo, Willians",553902,EP,-2.36,55.36,5.49,3.35,-77.62,2.74,-2.84,10.85,-30.41,,
"Astudillo, Willians",553902,EP,-1.94,55.77,6.40,1.87,-61.67,7.07,-0.08,6.12,-28.97,939,198
"Astudillo, Willians",553902,EP,-1.96,55.83,6.37,2.84,-65.09,6.62,-0.33,6.66,-28.66,1018,200
"Astudillo, Willians",553902,EP,-2.24,55.35,5.63,1.79,-80.52,7.51,-2.95,12.53,-34.84,,
"Astudillo, Willians",553902,EP,-2.34,55.30,5.44,5.02,-72.80,7.17,-1.67,10.36,-30.96,,
"Astudillo, Willians",553902,FA,-2.07,55.57,5.99,5.12,-112.05,-2.75,-4.05,19.54,-20.78,1679,208
"Astudillo, Willians",553902,EP,-1.92,56.23,6.53,2.91,-63.19,7.21,-0.09,6.30,-28.92,991,198
"Astudillo, Willians",553902,FA,-2.14,55.31,5.77,3.46,-110.97,0.01,-6.11,18.66,-22.11,1721,209
"Astudillo, Willians",553902,EP,-2.08,55.91,6.51,3.90,-64.55,7.66,-0.98,5.95,-28.94,1079,197
"Astudillo, Willians",553902,FA,-2.20,55.92,6.17,3.29,-90.33,-1.80,-3.84,11.30,-24.14,1477,215
"Astudillo, Willians",553902,EP,-1.85,57.13,7.05,-0.19,-54.48,10.87,-0.57,5.00,-30.52,998,194
